Summary Statistic	Replicate_ID	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
mean	0.5	-19.1585	-16.7068	-2.4517	0.0876	0	1	0.7944	0.3273	8.497	9.3049
stderr of mean	5.2699E-3	0.0165	0.0121	7.7354E-3	2.9725E-4	0	0	5.0488E-4	7.9487E-4	0.0231	4.8692E-3
stdev	0.5	1.5519	1.1518	0.7152	0.0276	0	0	0.0471	0.0739	2.0228	0.453
variance	0.25	2.4085	1.3267	0.5114	7.6185E-4	0	0	2.2166E-3	5.4626E-3	4.0916	0.2052
median	0	-18.8081	-16.4216	-2.2754	0.0801	0	0	0.7897	0.3146	8.6523	9.3576
value range	[0, 1]	[-29.1135, -16.9916]	[-24.5398, -15.2292]	[-8.6486, -1.2586]	[0.0417, 0.3513]	[0, 0]	[1, 1]	[0.6274, 0.9516]	[0.1799, 0.8897]	[1.9732, 16.6279]	[7.8049, 9.9998]
geometric mean	n/a	n/a	n/a	n/a	0.0843	n/a	n/a	0.793	0.3198	8.2252	9.2937
95% HPD interval	[0, 1]	[-22.2239, -17.0246]	[-18.9741, -15.2418]	[-3.9065, -1.4812]	[0.0511, 0.1425]	n/a	n/a	[0.7134, 0.8941]	[0.203, 0.4719]	[4.2357, 12.0101]	[8.5187, 9.9998]
auto-correlation time (ACT)	1	1.0118	1	1.0533	1.0441	n/a	n/a	1.0354	1.0413	1.173	1.0403
effective sample size (ESS)	9002	8896.8	9002	8546.3	8621.6	n/a	n/a	8694.6	8644.8	7674.1	8653.2
number of samples	9002	9002	9002	9002	9002	9002	9002	9002	9002	9002	9002
