Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
0	0	-14.57191	-15.90159	1.329683	0.06614025
1	1	-13.11275	-15.2877	2.174952	0.0284034
2	0	-13.16802	-14.93859	1.770567	0.0425591
3	1	-13.48769	-15.11855	1.630855	0.04894052
4	0	-15.79224	-16.87304	1.080803	0.08483074
5	1	-15.24377	-16.43016	1.186388	0.07633053
6	0	-14.08522	-15.53403	1.448809	0.05871248
7	1	-13.00379	-14.89565	1.891863	0.03769766
8	0	-13.7368	-15.28458	1.547786	0.05317958
9	1	-13.22276	-15.45091	2.228157	0.02693171
10	0	-12.97042	-14.91152	1.941104	0.03588634
11	1	-13.27879	-14.99407	1.71528	0.04497832
12	0	-13.02271	-15.13546	2.112753	0.03022615
13	1	-12.99061	-15.06988	2.079264	0.03125556
14	0	-13.2218	-14.96419	1.742392	0.04377526
15	1	-13.16751	-14.93836	1.770847	0.04254718
16	0	-14.13678	-15.5721	1.435318	0.05950992
17	1	-14.49431	-15.84191	1.347601	0.0649657
18	0	-13.81205	-15.3371	1.525049	0.05440262
19	1	-13.07485	-14.90387	1.829017	0.04014284
20	0	-13.20435	-15.42458	2.220223	0.02714622
21	1	-12.96347	-14.9941	2.030638	0.03281295
22	0	-14.61487	-17.16094	2.546071	0.01959727
23	1	-13.00859	-14.89513	1.886541	0.03789881
24	0	-13.01858	-15.12759	2.10902	0.03033922
25	1	-13.25344	-15.49419	2.240748	0.02659472
26	0	-13.32555	-15.02018	1.694633	0.04591664
27	1	-12.99029	-14.89875	1.908467	0.03707689
28	0	-14.85827	-17.43964	2.581362	0.01891772
29	1	-12.9655	-15.00187	2.036369	0.03262542
30	0	-13.98186	-15.4585	1.476642	0.05710087
31	1	-13.57033	-15.91282	2.342492	0.02402196
32	0	-12.98484	-14.90094	1.916101	0.03679491
33	1	-12.95996	-14.93204	1.972077	0.03479188
34	0	-12.96321	-14.9227	1.959492	0.03523248
35	1	-14.32538	-16.82522	2.499845	0.02052443
