Iteration	Posterior	Likelihood	Prior	sigma2
0	-14.57191	-15.90159	1.329683	0.06614025
10	-13.16802	-14.93859	1.770567	0.0425591
20	-15.79224	-16.87304	1.080803	0.08483074
30	-14.08522	-15.53403	1.448809	0.05871248
40	-13.7368	-15.28458	1.547786	0.05317958
50	-12.97042	-14.91152	1.941104	0.03588634
60	-13.02271	-15.13546	2.112753	0.03022615
70	-13.2218	-14.96419	1.742392	0.04377526
80	-14.13678	-15.5721	1.435318	0.05950992
90	-13.81205	-15.3371	1.525049	0.05440262
100	-13.20435	-15.42458	2.220223	0.02714622
110	-14.61487	-17.16094	2.546071	0.01959727
120	-13.01858	-15.12759	2.10902	0.03033922
130	-13.32555	-15.02018	1.694633	0.04591664
140	-14.85827	-17.43964	2.581362	0.01891772
150	-13.98186	-15.4585	1.476642	0.05710087
160	-12.98484	-14.90094	1.916101	0.03679491
170	-12.96321	-14.9227	1.959492	0.03523248
180	-13.14704	-15.34029	2.193243	0.02788859
190	-16.04203	-17.07719	1.035163	0.0887921
200	-13.49887	-15.12567	1.626803	0.04913923
210	-13.6325	-15.99116	2.358662	0.02363666
220	-13.03771	-14.89615	1.858442	0.03897883
230	-13.91367	-16.33661	2.422941	0.02216513
240	-14.09478	-15.54107	1.446289	0.05886061
250	-13.88608	-16.30323	2.417155	0.02229375
260	-13.1097	-14.91494	1.805233	0.04110904
270	-13.53486	-15.14886	1.614	0.04977242
280	-13.04291	-15.17235	2.129437	0.02972606
290	-13.49613	-15.12393	1.627792	0.04909066
300	-13.03196	-14.8955	1.863545	0.03878044
310	-12.97684	-14.90567	1.928837	0.03632928
320	-12.96131	-14.92747	1.966156	0.03499849
330	-13.18829	-15.40133	2.213035	0.02734205
340	-13.09957	-15.26693	2.16736	0.02861987
350	-13.07545	-14.90403	1.82858	0.04016039
360	-13.42817	-15.08127	1.653098	0.04786399
370	-12.98647	-14.90022	1.91375	0.03688152
380	-12.99723	-15.08445	2.087217	0.03100795
390	-14.82853	-16.10121	1.272678	0.07002014
400	-13.18316	-14.94549	1.762329	0.04291115
410	-13.00304	-15.0967	2.093658	0.03080889
420	-12.95849	-14.93956	1.981072	0.03448033
430	-14.09061	-15.538	1.447387	0.05879602
440	-14.34293	-15.72655	1.38362	0.06266737
450	-13.05588	-15.19495	2.13907	0.02944109
460	-13.72018	-15.27311	1.552932	0.05290666
470	-14.82534	-16.09871	1.273368	0.06997184
480	-13.82719	-15.34777	1.520576	0.05464648
