Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
0	0	-19.46652	-17.45834	-2.008187	0.08823477	0.8084393	0.4051274	7.855714	8.77857
1	1	-18.65475	-17.76983	-0.8849172	0.06671874	0.7502731	0.2079923	10.38909	9.563024
2	0	-25.46212	-21.60743	-3.854688	0.1508144	0.887315	0.6804573	4.596028	7.973393
3	1	-16.6122	-15.35312	-1.259079	0.06925912	0.7587605	0.2865051	10.00803	9.869852
4	0	-17.25252	-15.6559	-1.59662	0.07948347	0.7881495	0.323221	8.720645	9.429892
5	1	-18.7404	-16.86032	-1.880078	0.1028172	0.8350782	0.2615575	6.741549	8.998392
6	0	-17.39233	-15.69322	-1.699111	0.08628931	0.8042533	0.3099491	8.032828	9.341626
7	1	-17.74235	-16.48156	-1.260788	0.0776013	0.78325	0.2404337	8.93216	9.25716
8	0	-16.56704	-15.46923	-1.097805	0.06753339	0.7530531	0.2529273	10.26377	9.747409
9	1	-18.07444	-16.17897	-1.89547	0.08822207	0.8084125	0.3620396	7.856846	9.308485
10	0	-17.81024	-16.39611	-1.414124	0.06600534	0.7477918	0.3584704	10.50138	9.806068
11	1	-21.0384	-18.07177	-2.966631	0.123841	0.8628462	0.4962516	5.597075	8.953171
12	0	-16.97024	-15.67594	-1.294295	0.07622757	0.7795392	0.2559806	9.093129	9.578842
13	1	-17.59219	-15.97306	-1.619132	0.08426786	0.7997166	0.2986656	8.225523	9.03097
14	0	-21.08186	-18.25391	-2.827942	0.1160331	0.8536756	0.5098295	5.9737	8.900495
15	1	-18.22378	-16.96824	-1.255543	0.06457097	0.7426663	0.315356	10.73466	9.388735
16	0	-17.4036	-16.27302	-1.13058	0.059494	0.7229336	0.3099692	11.65071	9.831402
17	1	-18.85373	-17.07938	-1.774355	0.07739623	0.7827035	0.4035752	8.955826	9.32829
18	0	-20.49606	-17.32967	-3.166383	0.145475	0.8831851	0.3828957	4.764718	8.880879
19	1	-19.44666	-16.85562	-2.591046	0.129267	0.8685786	0.3037967	5.362137	8.678809
20	0	-19.00314	-16.98964	-2.013493	0.08802103	0.8079877	0.4091342	7.874791	9.350304
21	1	-20.6937	-17.18513	-3.508567	0.1640817	0.8964186	0.3632577	4.224403	8.405463
22	0	-17.91457	-16.32525	-1.589318	0.08558883	0.8027034	0.2818795	8.098571	8.950041
23	1	-17.54603	-16.28288	-1.263149	0.06719382	0.7519011	0.3005613	10.31564	9.425712
24	0	-22.32066	-17.53143	-4.78923	0.218474	0.9222019	0.4122267	3.172676	8.539932
25	1	-16.37658	-15.24794	-1.128638	0.0655047	0.7460239	0.2723216	10.58164	9.920083
26	0	-17.5813	-15.80573	-1.77557	0.08631807	0.8043165	0.3343728	8.030152	9.300951
27	1	-16.71028	-15.47127	-1.239003	0.06695218	0.7510754	0.2948992	10.35287	9.733331
28	0	-17.02607	-15.66042	-1.365646	0.06905211	0.7580886	0.3201264	10.03803	9.87624
