Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
0	0	-20.44124	-16.73407	-3.707171	0.1329771	0	1	0.8722328	0.428636	5.212532	8.637721
1	1	-19.3309	-17.15555	-2.175352	0.08248398	0	1	0.7955454	0.2704943	8.403416	8.888126
2	0	-18.10588	-15.73612	-2.369751	0.084807	0	1	0.8009459	0.3127347	8.173231	9.121907
3	1	-22.88541	-19.58764	-3.297763	0.1017077	0	1	0.8333057	0.5526558	6.81509	8.686738
4	0	-17.97454	-15.73496	-2.23958	0.0818646	0	1	0.7940586	0.2922536	8.466995	9.526445
5	1	-18.90797	-16.21803	-2.68994	0.09378342	0	1	0.819492	0.356048	7.390936	9.263936
6	0	-18.23187	-16.08073	-2.151138	0.06953931	0	1	0.7596646	0.3474854	9.967703	9.837086
7	1	-18.07063	-15.92755	-2.143084	0.07734885	0	1	0.7825768	0.2920573	8.961312	9.769968
8	0	-20.73143	-17.48486	-3.246566	0.1101438	0	1	0.845921	0.4390115	6.293114	9.128129
9	1	-19.94241	-18.22305	-1.719355	0.05078679	0	1	0.6821917	0.3359181	13.64818	9.965932
10	0	-18.92105	-16.21611	-2.704942	0.09347061	0	1	0.8189014	0.3638365	7.415669	8.933136
11	1	-20.85163	-18.93933	-1.912296	0.06997953	0	1	0.7610727	0.2711138	9.904999	8.949615
12	0	-17.83966	-16.17718	-1.662473	0.06763579	0	1	0.7533985	0.2219496	10.24823	9.932537
13	1	-17.376	-15.5426	-1.833404	0.06999438	0	1	0.7611199	0.2504682	9.902898	9.838524
14	0	-19.55858	-16.99236	-2.566219	0.09070963	0	1	0.8135244	0.3358182	7.641384	9.578377
15	1	-18.95986	-16.45683	-2.503037	0.09810949	0	1	0.827295	0.2694445	7.065037	9.10992
16	0	-17.59343	-15.62047	-1.972955	0.06922818	0	1	0.7586603	0.2926981	10.0125	9.551962
17	1	-17.78226	-15.66998	-2.11228	0.07300708	0	1	0.770362	0.3105292	9.494247	9.818086
18	0	-18.42028	-16.23527	-2.185018	0.07030327	0	1	0.7620986	0.3536794	9.859388	9.603092
19	1	-19.54301	-16.22078	-3.322235	0.1236243	0	1	0.862607	0.3557179	5.606885	8.684886
20	0	-20.59212	-16.75244	-3.839677	0.1405603	0	1	0.8791085	0.4166299	4.931315	8.487187
21	1	-18.20625	-16.02927	-2.176982	0.07236165	0	1	0.7684377	0.3358539	9.57893	9.881543
22	0	-21.3806	-18.32429	-3.056312	0.09890853	0	1	0.8286657	0.4606704	7.007961	9.410356
23	1	-20.65426	-17.73253	-2.921732	0.09383177	0	1	0.8195829	0.4484651	7.387127	8.831242
24	0	-18.52014	-16.68535	-1.834794	0.05993586	0	1	0.7247565	0.3104936	11.56482	9.682956
25	1	-20.12613	-17.59324	-2.532882	0.09809088	0	1	0.8272629	0.2777171	7.066377	9.377175
26	0	-17.43965	-15.61325	-1.826403	0.07060579	0	1	0.7630501	0.2455147	9.817143	9.713535
27	1	-17.96684	-15.60902	-2.357815	0.08523898	0	1	0.8019206	0.3062044	8.13181	9.311147
28	0	-18.56327	-16.27282	-2.290445	0.07619591	0	1	0.7794523	0.3468099	9.096907	9.247555
29	1	-19.78125	-16.38852	-3.392726	0.1225616	0	1	0.8614219	0.3904028	5.655501	8.770844
30	0	-17.95375	-16.19433	-1.759422	0.07111966	0	1	0.7646504	0.2271184	9.74621	9.77818
31	1	-20.00304	-17.39015	-2.612888	0.08203655	0	1	0.7944734	0.4229617	8.449248	9.166539
32	0	-18.60925	-15.98934	-2.619917	0.09440738	0	1	0.8206589	0.3276026	7.342087	9.236899
33	1	-19.2638	-17.80073	-1.463071	0.06147538	0	1	0.7309451	0.2072181	11.2752	9.750819
34	0	-18.6183	-16.49042	-2.127882	0.06605244	0	1	0.747957	0.36557	10.49389	9.912585
35	1	-17.1432	-15.27921	-1.863981	0.06533452	0	1	0.7454178	0.2850861	10.6092	9.962839
