Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
0	-17.35326	-15.52114	-1.832119	0.06412885	0	1	0.7410486	0.283302	10.80866	9.791304
10	-19.93591	-17.6788	-2.257111	0.06701188	0	1	0.7512799	0.4076165	10.34365	9.534237
20	-19.09202	-16.89428	-2.197745	0.08719489	0	1	0.8062232	0.2503045	7.949401	9.453981
30	-20.85333	-17.975	-2.878327	0.0901348	0	1	0.8123664	0.4644602	7.690118	9.24505
40	-17.99512	-15.81527	-2.179847	0.0805547	0	1	0.7908467	0.2830674	8.604677	9.593832
50	-23.56296	-19.14515	-4.41781	0.162755	0	1	0.8955748	0.4637564	4.258837	8.033933
60	-17.42961	-15.51558	-1.914032	0.06734285	0	1	0.7524078	0.2872133	10.29281	9.663646
70	-18.17644	-15.86378	-2.312655	0.08854698	0	1	0.8090953	0.2728432	7.828016	9.142366
80	-18.73382	-16.37166	-2.362166	0.08370866	0	1	0.7984264	0.3176905	8.280471	9.655791
90	-19.48502	-16.86138	-2.62364	0.08586825	0	1	0.8033245	0.3941472	8.072218	9.010247
100	-19.21139	-16.19234	-3.019053	0.1146568	0	1	0.8519327	0.3177441	6.045411	8.736092
110	-20.46975	-17.81513	-2.654619	0.09618242	0	1	0.8239008	0.3266332	7.206589	9.565524
120	-18.85456	-16.26013	-2.594429	0.09284053	0	1	0.8177007	0.3301549	7.465998	8.816379
130	-19.20805	-16.98199	-2.226064	0.08117881	0	1	0.7923887	0.2925567	8.538524	9.845568
140	-19.63406	-16.33149	-3.302571	0.123089	0	1	0.8620125	0.352776	5.631269	8.600333
150	-17.81229	-15.75302	-2.059272	0.07257992	0	1	0.7690918	0.2971789	9.550123	9.388464
160	-18.64411	-16.19374	-2.450368	0.08173388	0	1	0.7937423	0.3618334	8.480537	9.442563
170	-21.83534	-17.83824	-3.997097	0.1381713	0	1	0.877023	0.5130191	5.01658	8.61314
180	-19.95717	-18.17612	-1.78105	0.05254734	0	1	0.6912358	0.3441933	13.19091	9.865708
190	-17.45998	-15.53642	-1.923561	0.06755048	0	1	0.7531108	0.2886885	10.26117	9.647993
200	-20.35724	-18.65587	-1.701374	0.06117698	0	1	0.729765	0.2646496	11.3302	9.319234
210	-20.21881	-16.72637	-3.49244	0.1319967	0	1	0.8712869	0.3530755	5.251248	8.468157
220	-18.72528	-16.66204	-2.06324	0.06674476	0	1	0.7503627	0.3376887	10.38504	9.432971
230	-17.46647	-15.57432	-1.892143	0.0706581	0	1	0.7632138	0.2619063	9.809876	9.554344
240	-19.06095	-17.43235	-1.628603	0.05393619	0	1	0.6980632	0.2869434	12.85125	9.858242
250	-18.06126	-15.70422	-2.357031	0.08257708	0	1	0.7957671	0.3237445	8.393942	9.243683
260	-17.70278	-15.90706	-1.795723	0.06385538	0	1	0.7400389	0.2747661	10.85495	9.662303
270	-19.12291	-16.71039	-2.412518	0.07968628	0	1	0.7886651	0.3638653	8.69845	9.762121
280	-17.28141	-15.53056	-1.750844	0.06721883	0	1	0.7519863	0.244611	10.3118	9.963759
290	-17.90038	-15.92204	-1.978345	0.06835089	0	1	0.7557869	0.2998095	10.14101	9.484442
300	-17.96157	-16.00862	-1.952948	0.07111476	0	1	0.7646352	0.2756416	9.746882	9.361418
