Iteration	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
0	-19.46652	-17.45834	-2.008187	0.08823477	0.8084393	0.4051274	7.855714	8.77857
10	-25.46212	-21.60743	-3.854688	0.1508144	0.887315	0.6804573	4.596028	7.973393
20	-17.25252	-15.6559	-1.59662	0.07948347	0.7881495	0.323221	8.720645	9.429892
30	-17.39233	-15.69322	-1.699111	0.08628931	0.8042533	0.3099491	8.032828	9.341626
40	-16.56704	-15.46923	-1.097805	0.06753339	0.7530531	0.2529273	10.26377	9.747409
50	-17.81024	-16.39611	-1.414124	0.06600534	0.7477918	0.3584704	10.50138	9.806068
60	-16.97024	-15.67594	-1.294295	0.07622757	0.7795392	0.2559806	9.093129	9.578842
70	-21.08186	-18.25391	-2.827942	0.1160331	0.8536756	0.5098295	5.9737	8.900495
80	-17.4036	-16.27302	-1.13058	0.059494	0.7229336	0.3099692	11.65071	9.831402
90	-20.49606	-17.32967	-3.166383	0.145475	0.8831851	0.3828957	4.764718	8.880879
100	-19.00314	-16.98964	-2.013493	0.08802103	0.8079877	0.4091342	7.874791	9.350304
110	-17.91457	-16.32525	-1.589318	0.08558883	0.8027034	0.2818795	8.098571	8.950041
120	-22.32066	-17.53143	-4.78923	0.218474	0.9222019	0.4122267	3.172676	8.539932
130	-17.5813	-15.80573	-1.77557	0.08631807	0.8043165	0.3343728	8.030152	9.300951
140	-17.02607	-15.66042	-1.365646	0.06905211	0.7580886	0.3201264	10.03803	9.87624
150	-18.108	-16.22467	-1.883335	0.08847263	0.8089394	0.3557762	7.834595	9.381085
160	-17.28869	-16.13263	-1.156064	0.06322653	0.7376899	0.293757	10.96292	9.634225
170	-18.2431	-16.42441	-1.818686	0.09406961	0.820029	0.2961558	7.36845	9.346405
180	-17.69401	-16.06456	-1.629449	0.08120865	0.7924619	0.3220019	8.535386	9.082052
190	-17.20533	-15.9559	-1.249428	0.07611263	0.7792233	0.245347	9.106861	9.630384
200	-18.19742	-16.70475	-1.492674	0.08314973	0.7971211	0.2695066	8.336133	8.953292
210	-17.32847	-15.96358	-1.36489	0.08003732	0.7895521	0.2533708	8.6603	9.285794
220	-22.76915	-19.11465	-3.654495	0.1617803	0.8949461	0.4413661	4.284496	9.050344
230	-17.17561	-16.25553	-0.9200797	0.06044518	0.7268316	0.2461124	11.46737	9.801605
240	-17.21549	-15.99297	-1.222521	0.06722614	0.7520112	0.2883969	10.31068	9.494622
250	-23.55035	-18.07793	-5.472416	0.2481519	0.9315061	0.4348471	2.793237	8.611764
260	-19.05678	-16.50722	-2.549561	0.1221854	0.8609976	0.33871	5.672912	8.552129
270	-17.68602	-16.85486	-0.8311594	0.05495533	0.702909	0.2529932	12.61292	9.959893
280	-20.27351	-16.84459	-3.428923	0.1589403	0.8930703	0.3741173	4.361054	8.458569
290	-17.74858	-15.90968	-1.838899	0.08760893	0.8071114	0.3466076	7.911832	9.202751
300	-17.38687	-15.89989	-1.486978	0.07301561	0.7703872	0.3322684	9.493137	9.464462
310	-17.35068	-16.32965	-1.021037	0.06954827	0.7596934	0.2244333	9.966418	9.632579
320	-17.41025	-16.15682	-1.253425	0.06867308	0.7568494	0.2884546	10.09343	9.395564
330	-18.67501	-16.9423	-1.732706	0.09365718	0.8192541	0.274145	7.400898	8.76388
340	-20.18271	-17.19923	-2.983478	0.1317636	0.87106	0.4265849	5.260534	8.398622
350	-16.40588	-15.28142	-1.124456	0.06655714	0.7497149	0.265196	10.41432	9.861439
360	-17.27886	-15.90095	-1.377909	0.0697577	0.760365	0.3192602	9.936497	9.502829
370	-18.38827	-16.60125	-1.787021	0.08055017	0.7908354	0.3822604	8.605161	9.239082
380	-17.73554	-15.8281	-1.907439	0.09430765	0.8204734	0.3220115	7.349851	9.163924
390	-16.41659	-15.25994	-1.156647	0.06660652	0.7498857	0.2735848	10.4066	9.944233
400	-17.89558	-17.01088	-0.8846971	0.06018088	0.7257582	0.2388926	11.51773	9.702104
410	-16.96821	-15.93958	-1.028624	0.06146339	0.7308979	0.2684666	11.2774	9.770676
420	-19.65927	-16.9891	-2.670171	0.1159091	0.8535202	0.4365648	5.980092	8.695761
430	-17.62474	-15.83041	-1.794328	0.08649497	0.804704	0.3394278	8.013728	9.235121
440	-16.68815	-15.71595	-0.9721987	0.05856048	0.7190115	0.2698593	11.83643	9.991852
450	-18.08101	-16.1652	-1.915809	0.0887338	0.8094858	0.3654883	7.811535	9.1202
460	-19.26228	-16.6827	-2.579588	0.1138901	0.8509441	0.4162126	6.086103	8.773924
470	-17.88692	-16.35423	-1.532697	0.07271293	0.7694887	0.350053	9.532654	9.364656
480	-24.20363	-22.8371	-1.366536	0.08808337	0.8081196	0.2139545	7.869217	8.61631
490	-21.77993	-18.05593	-3.723999	0.1606726	0.8942224	0.4843871	4.314034	8.886261
500	-22.70838	-19.33681	-3.371577	0.1631675	0.8958386	0.3229577	4.248071	8.852631
510	-16.92769	-15.70416	-1.223532	0.07325823	0.7711029	0.2540035	9.461697	9.766622
520	-20.22146	-18.17054	-2.05092	0.1004843	0.831308	0.3260336	6.898066	9.511626
530	-18.21303	-16.44466	-1.768369	0.08060083	0.7909614	0.3747937	8.599753	9.501086
540	-18.02056	-16.27121	-1.749345	0.09245194	0.8169525	0.2859655	7.497379	9.327425
550	-17.40509	-16.38748	-1.017618	0.06944989	0.7593767	0.2241346	9.980537	9.947228
560	-17.53603	-16.53347	-1.002563	0.06677055	0.7504515	0.2337022	10.38103	9.555401
570	-17.61119	-16.29144	-1.319747	0.06824247	0.7554275	0.3110636	10.15712	9.397257
580	-17.19282	-16.15183	-1.040998	0.07001374	0.7611814	0.2267079	9.90016	9.834125
590	-18.13381	-15.95379	-2.18002	0.1040965	0.8370771	0.3435903	6.6587	8.92582
600	-16.88056	-15.94509	-0.9354687	0.06555039	0.7461861	0.2242687	10.57426	9.916104
610	-18.60885	-16.76708	-1.841773	0.08813918	0.8082376	0.3437161	7.864235	9.594027
620	-18.37146	-16.4731	-1.898359	0.09391625	0.8197416	0.3217622	7.380482	9.392583
630	-17.14631	-15.5843	-1.562008	0.07975859	0.7888484	0.3104077	8.690565	9.326096
640	-19.79237	-17.55943	-2.232936	0.09665288	0.8247413	0.4242481	7.171511	8.660982
650	-18.09337	-16.61073	-1.482637	0.07120421	0.7649118	0.3437929	9.734638	9.2868
660	-17.18498	-15.82486	-1.360121	0.07679946	0.7810982	0.2701	9.025418	9.278634
670	-17.09812	-15.66693	-1.431192	0.07256626	0.7690509	0.3172506	9.551922	9.786803
680	-17.37199	-15.84208	-1.529904	0.07527551	0.7768976	0.3306015	9.208137	9.403296
690	-19.37141	-17.52871	-1.842699	0.08089109	0.7916804	0.4012344	8.568894	8.934204
700	-18.55176	-16.13894	-2.41282	0.1154044	0.8528844	0.3411411	6.006247	8.857375
710	-17.6403	-15.8858	-1.754499	0.08485046	0.8010444	0.3377576	8.169044	9.146495
720	-16.91101	-15.5235	-1.387515	0.07144474	0.7656526	0.3110062	9.701864	9.724689
730	-17.58572	-15.82318	-1.762534	0.08512539	0.8016652	0.3385019	8.142661	9.284601
740	-17.73329	-15.8311	-1.902191	0.09177197	0.815629	0.338034	7.552929	9.092873
750	-22.49225	-19.64972	-2.842523	0.1397742	0.87843	0.3125838	4.95905	9.044334
760	-19.48049	-16.5311	-2.949382	0.1340692	0.8732705	0.3926003	5.170071	8.541031
770	-16.86671	-15.59992	-1.266785	0.07487365	0.7757649	0.2562931	9.257558	9.535323
780	-18.73063	-16.72862	-2.002009	0.09603352	0.8236332	0.3412224	7.217763	9.396211
790	-17.73068	-16.06907	-1.661618	0.08386289	0.7987838	0.3143176	8.265244	9.010851
800	-23.47177	-17.56611	-5.905663	0.2575096	0.9339951	0.5498644	2.691733	8.545312
810	-17.00943	-16.03864	-0.970792	0.06426181	0.741537	0.2387727	10.7863	9.72735
820	-16.87642	-15.48815	-1.38827	0.07354171	0.7719339	0.2976954	9.425225	9.731413
830	-17.54303	-16.04532	-1.49771	0.08549485	0.8024937	0.2577179	8.107473	9.189125
840	-18.12707	-16.08099	-2.046085	0.1038736	0.8367322	0.3019449	6.672988	9.000984
850	-21.67542	-17.38891	-4.286503	0.1860787	0.908659	0.4958503	3.725023	8.641479
860	-19.10188	-16.44337	-2.65851	0.126176	0.8653725	0.3470308	5.493496	8.831268
870	-17.3978	-15.68278	-1.715021	0.08646669	0.8046422	0.3137366	8.016349	9.135432
880	-17.19982	-15.66949	-1.530332	0.07956433	0.7883553	0.3019716	8.711783	9.241607
890	-18.91646	-17.40211	-1.51435	0.07562511	0.7778744	0.3230931	9.165569	8.919446
900	-17.44141	-16.0832	-1.35821	0.07794729	0.7841664	0.2630974	8.892511	9.718057
910	-19.73932	-16.80838	-2.930946	0.1378425	0.8767303	0.3557706	5.028545	8.446215
920	-16.99457	-15.73307	-1.261502	0.06660698	0.7498873	0.3038266	10.40652	9.643448
930	-17.87676	-16.09129	-1.785475	0.0850553	0.8015073	0.3468727	8.149371	9.447356
940	-18.29577	-16.48671	-1.809067	0.095515	0.8226952	0.2844608	7.256946	9.285808
950	-22.63254	-18.84242	-3.790112	0.178111	0.904574	0.3574358	3.891658	8.818464
960	-17.97346	-16.18783	-1.785624	0.09650823	0.8244837	0.2720746	7.18226	9.016995
